restaurant,cuisine,stars,long,lat,lower_price,higher_price
Il Falconiere,Tuscan,1,10.5862067,43.3426263,94.5,136.5
Dam,Modern Cuisine,1,13.66189551116906,45.95809850000001,78.75,121.8
La Buca,Seafood,1,12.3968844,44.2003883,68.25,99.75
Osteria Altran,Modern Cuisine,1,13.4127221,45.8173897,73.5,100.8
Octavin,Creative,1,11.8797481,43.4645197,63.0,84.0
Trattoria al Cacciatore - La Subida,Regional Cuisine,1,13.4954994,45.9640001,63.0,105.0
Silene,Tuscan,1,11.558242,42.928832,68.25,126.0
Osteria Perillà,Modern Cuisine,1,11.6155411,43.0071166,78.75,136.5
L'Argine a Vencò,Creative,1,13.4627196,46.001219,73.5,115.5
Da Gorini,Modern Cuisine,1,11.9769068,43.8576286,56.7,110.25
Il Pellicano,Creative,1,11.2025043,42.3959698,102.9,157.5
Sala dei Grappoli,Modern Cuisine,1,11.3996713,42.9807497,94.5,168.0
L'Asinello,Modern Cuisine,1,11.503334,43.346341,50.4,73.5
La Bottega del 30,Tuscan,1,11.503334,43.346341,64.05,115.5
Poggio Rosso,Creative,1,11.503334,43.346341,105.0,199.5
La Zanzara,Seafood,1,12.109524,44.831581,73.5,115.5
Il Pievano,Modern Cuisine,1,11.4342003,43.4682951,75.6,136.5
Gabbiano 3.0,Creative,1,10.9810013,42.71785,89.25,189.0
Meo Modo,Creative,1,11.084228,43.154634,162.75,204.75
La Trattoria Enrico Bartolini,Mediterranean Cuisine,1,10.9495656,42.780004,84.0,189.0
La Capanna di Eraclio,Seafood,1,12.109524,44.831581,66.15,108.15
Venissa,Modern Cuisine,1,12.40847441099836,45.4862913,115.5,178.5
Osteria di Passignano,Modern Cuisine,1,11.24771157870555,43.5772811,84.0,105.0
Oro Restaurant,Modern Cuisine,1,12.3345898,45.4371908,231.0,231.0
Local,Contemporary,1,12.3345898,45.4371908,39.9,136.5
Quadri,Modern Cuisine,1,12.3345898,45.4371908,157.5,225.75
Wistèria,Contemporary,1,12.3345898,45.4371908,52.5,136.5
Zanze XVI,Creative,1,12.3345898,45.4371908,26.25,105.0
La Torre,Creative,1,11.1772456,43.5622638,105.0,189.0
Il Palagio,Modern Cuisine,1,11.2655715,43.7760204,84.0,147.0
La Leggenda dei Frati,Creative,1,11.2560278,43.7643654,94.5,178.5
Gucci Osteria da Massimo Bottura,Modern Cuisine,1,11.2566968,43.7697383,78.75,157.5
Borgo San Jacopo,Modern Cuisine,1,11.2555757,43.7698712,88.2,157.5
Gellius,Modern Cuisine,1,12.4942614,45.7827579,63.0,115.5
La Primula,Modern Cuisine,1,12.6814878,46.0344112,53.55,94.5
Linfa,Creative,1,11.04168192672086,43.4705157,84.0,131.25
Virtuoso Gourmet - Tenuta Le Tre Virtù,Tuscan,1,11.32442,43.961354,120.75,157.5
Lazzaro 1915,Creative,1,12.0214302,45.2495666,63.0,115.5
San Martino,Modern Cuisine,1,12.108383,45.5713541,39.9,94.5
I Portici,Creative,1,11.3448017,44.501899,91.35,147.0
Iacobucci,Italian Contemporary,1,11.3563747,44.560042,69.3,115.5
Storie d'Amore,Modern Cuisine,1,11.95076866431452,45.53370475,26.25,105.0
Atman a Villa Rospigliosi,Creative,1,10.9059438,43.8186124,86.1,220.5
Locanda San Lorenzo,Modern Cuisine,1,12.3623258,46.1410937,31.5,102.9
Laite,Regional Cuisine,1,12.6953178,46.568371,73.5,136.5
Dolada,Modern Cuisine,1,12.35792197896039,46.1846485,71.4,115.5
Feva,Creative,1,11.9322211,45.6716874,26.25,94.5
La Pineta,Seafood,1,10.5329853,43.2449916,59.85,89.25
Trattoria da Amerigo,Regional Cuisine,1,11.0736346,44.3901444,34.65,68.25
Gusto by Sadler,Modern Cuisine,1,9.6739231,40.770511,94.5,157.5
Aqua Crua,Creative,1,11.5409364,45.4093424,68.25,168.0
Matteo Grandi,Creative,1,11.5458228,45.5473055,94.5,136.5
ConFusion,Creative,1,9.5337187,41.1392796,84.0,199.5
Butterfly,Modern Cuisine,1,10.5548336,43.8919517,73.5,126.0
Giglio,Modern Cuisine,1,10.5028402,43.8411061,60.9,105.0
L'Erba del Re,Creative,1,10.9238025,44.6491995,78.75,115.5
Somu,Modern Cuisine,1,9.440656508627578,41.09833412821632,60.9,84.0
Dal Corsaro,Modern Cuisine,1,9.1168027,39.2155399,115.5,152.25
Locanda le 4 Ciacole,Creative,1,11.2486617,45.2713289,52.5,84.0
SanBrite,Regional Cuisine,1,12.1402405,46.5426909,105.0,136.5
Tivoli,Modern Cuisine,1,12.1373506,46.5383332,86.1,147.0
Damini Macelleria & Affini,Italian,1,11.338594,45.519292,63.0,141.75
PUR,Classic Cuisine,1,13.04688167564959,47.6336246,110.25,194.25
La Favellina,Modern Cuisine,1,11.4088045,45.6345877,57.75,78.75
Tilia,Modern Cuisine,1,12.2235733,46.7291572,78.75,115.5
Arnaldo - Clinica Gastronomica,Emilian,1,10.7819818,44.6530567,39.9,78.75
Fradis Minoris,Modern Cuisine,1,8.751181775028588,39.19392678941725,35.7,84.0
La Tana Gourmet,Creative,1,11.5106998,45.8753771,189.0,189.0
Stube Gourmet,Creative,1,11.5092857,45.8749057,90.3,121.8
Casin del Gamba,Modern Cuisine,1,11.2512582,45.614739,78.75,115.5
Pfefferschiff,Classic Cuisine,1,13.07856825189404,47.8381713,68.25,198.45
Spinechile,Creative,1,11.3613775,45.7362821,84.0,126.0
Romano,Seafood,1,10.2506055,43.8672392,63.0,141.75
Lunasia,Modern Cuisine,1,10.2506055,43.8672392,73.5,157.5
The Glass Garden,Modern Cuisine,1,13.0464806,47.7981346,66.15,171.15
Esszimmer,Creative,1,13.0341503,47.806652,47.25,134.4
Franco Mare,Seafood,1,10.2067186,43.9325236,65.1,126.0
